,Record,Total complement sites,Total reverse complement sites,Total number of sites,Perc DNA modified (total),motif seq,record length,record length (Mb)
0,T.aquaticus,15469,16379,31848,0.7375763271533602,TNTC,2158963,2.158963
1,EPEC,76024,76142,152166,1.5691678108064129,TNTC,4848621,4.848621
2,E.coli(K12),71727,72007,143734,1.5483065081139216,TNTC,4641652,4.641652
3,M.tuberculosis,40768,40908,81676,0.9257101614586498,TNTC,4411532,4.411532
4,P.aeruginosa,54371,55875,110246,0.8799400549517561,TNTC,6264404,6.264404
0,T.aquaticus,5167,5155,10322,0.23904995129606205,GTCT,2158963,2.158963
1,EPEC,11183,11341,22524,0.23227222750551138,GTCT,4848621,4.848621
2,E.coli(K12),10304,10656,20960,0.22578168290082928,GTCT,4641652,4.641652
3,M.tuberculosis,9307,9322,18629,0.21113980358750656,GTCT,4411532,4.411532
4,P.aeruginosa,12080,12681,24761,0.19763252817027765,GTCT,6264404,6.264404
0,T.aquaticus,1925,1933,3858,0.08934845108508113,GGATC,2158963,2.158963
1,EPEC,4088,4279,8367,0.08628226458615759,GGATC,4848621,4.848621
2,E.coli(K12),4091,4155,8246,0.08882613345420984,GGATC,4641652,4.641652
3,M.tuberculosis,6636,6759,13395,0.15181800789385638,GGATC,4411532,4.411532
4,P.aeruginosa,8515,8510,17025,0.13588682977662359,GGATC,6264404,6.264404
